Week_Start_Date,Ratio,Gas_Price,TNP_Trips,Transit_Ridership,Bus_Rides,Rail_Boardings,Time,Quarter,Cases,Lockdown,Population,Unemployment_Rate,No_Vehicle_Pct,Weekly_Inc,ln_Ratio,ln_TNP_Trips,ln_Transit_Ridership,ln_Bus_Rides,ln_Rail_Boardings,February,March,April,May,June,July,August,September,October,November,December,Spring,Summer,Fall,Year_2019,Year_2020,Year_2021,Month,Season,Year
2019-12-16,5.318061687468492,2.605,261836,1392460.0,743694.0,648766.0,58.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.6711088925031738,12.475473632553639,14.146582525056813,13.519384938889585,13.382827375971216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1,2019
2019-12-23,4.736855890321555,2.604,232899,1103209.0,601685.0,501524.0,59.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.555373601338585,12.358360162174936,13.913733763513521,13.307489331530908,13.125406741669753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1,2019
2019-12-30,4.005617209442224,2.611,255999,1025434.0,544713.0,480721.0,60.0,4,0.0,0,9485403,3.2,27.8,1253.9109447502099,1.3876976783700408,12.45292881720407,13.840626495574112,13.208014329435418,13.08304233921866,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1,2019
2020-01-06,6.378896122992837,2.644,221021,1409870.0,750349.0,659521.0,61.0,1,0.0,0,9454282,3.9,26.8,1284.27888977593,1.8529950609122796,12.30601299860996,14.15900805952224,13.528293710611846,13.399269092937327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2020
2020-01-13,5.806988274179586,2.695,254140,1475788.0,775861.0,699927.0,62.0,1,0.0,0,9454282,3.9,26.8,1284.27888977593,1.7590620671317325,12.445640575258526,14.204702642390258,13.561728659409448,13.458731322873122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2020
2020-01-20,3.7858482283649133,2.605,234642,888319.0,477995.0,410324.0,63.0,1,0.0,0,9454282,3.9,26.8,1284.27888977593,1.331269964388492,12.36581622731088,13.697086191699373,13.077355551167837,12.924702370504619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2020
2020-01-27,6.141879085439627,2.634,242171,1487385.0,790014.0,697371.0,64.0,1,0.0,0,9454282,3.9,26.8,1284.27888977593,1.8151307353122514,12.397399367176657,14.212530102488909,13.579805945805168,13.455072829336434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2020
2020-02-03,6.355040873084536,2.552,236953,1505846.0,816538.0,689308.0,65.0,1,0.0,0,9454282,3.8,26.8,1284.27888977593,1.8492483362626757,12.37561708821451,14.224865424477185,13.612828730419926,13.443443474783473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2020
2020-02-10,6.069497708732816,2.501,246152,1494019.0,799851.0,694168.0,66.0,1,0.0,0,9454282,3.8,26.8,1284.27888977593,1.8032758518505534,12.413704510280294,14.216980362130846,13.592180739303378,13.450469285121487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2020
2020-02-17,4.220368318752242,2.541,253639,1070450.0,567523.0,502927.0,67.0,1,0.0,0,9454282,3.8,26.8,1284.27888977593,1.4399224035644775,12.443667275210391,13.883589678774868,13.249036556150793,13.12820030932496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2020
