ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60604,39,09/26/2021,10/02/2021,0,124,0,15856.8,171,8136,21867,1040409,0.0,0.0,0,0,0.0,0.0,782,60604-2021-39,POINT (-87.629029 41.878153)
60608,36,08/30/2020,09/05/2020,60,2476,76,3126.1,1723,25840,2175,32624.2,0.1,0.1,1,78,1.3,98.5,79205,60608-2020-36,POINT (-87.670366 41.849879)
60622,26,06/21/2020,06/27/2020,24,700,46,1325.9,970,6437,1837,12192.9,0.0,0.1,1,55,1.9,104.2,52793,60622-2020-26,POINT (-87.681818 41.902762)
60605,2,01/10/2021,01/16/2021,55,1538,200,5588.9,1146,29457,4164,107042.4,0.1,0.1,1,10,3.6,36.3,27519,60605-2021-2,POINT (-87.623449 41.867824)
60626,2,01/09/2022,01/15/2022,514,8311,1034,16712.2,6257,236780,12582,476131.1,0.1,0.0,3,188,6.0,378.0,49730,60626-2022-2,POINT (-87.669834 42.009469)
60626,3,01/16/2022,01/22/2022,298,8609,599,17311.5,5730,242510,11522,487653.3,0.1,0.0,6,194,12.1,390.1,49730,60626-2022-3,POINT (-87.669834 42.009469)
60626,4,01/23/2022,01/29/2022,130,8739,261,17572.9,4917,247427,9887,497540.7,0.0,0.0,3,197,6.0,396.1,49730,60626-2022-4,POINT (-87.669834 42.009469)
60626,5,01/30/2022,02/05/2022,84,8823,169,17741.8,4509,251936,9067,506607.7,0.0,0.0,0,197,0.0,396.1,49730,60626-2022-5,POINT (-87.669834 42.009469)
60628,22,05/30/2021,06/05/2021,20,5566,30,8341.8,1442,79759,2161,119535.7,0.0,0.1,1,212,1.5,317.7,66724,60628-2021-22,POINT (-87.621537 41.694192)
60628,36,09/05/2021,09/11/2021,102,6300,153,9441.9,1998,106206,2994,159172.1,0.0,0.1,2,226,3.0,338.7,66724,60628-2021-36,POINT (-87.621537 41.694192)
60628,41,10/10/2021,10/16/2021,56,6644,84,9957.4,2963,120307,4441,180305.4,0.0,0.1,0,232,0.0,347.7,66724,60628-2021-41,POINT (-87.621537 41.694192)
60628,42,10/17/2021,10/23/2021,44,6688,66,10023.4,3556,123863,5329,185634.9,0.0,0.1,0,232,0.0,347.7,66724,60628-2021-42,POINT (-87.621537 41.694192)
60628,43,10/24/2021,10/30/2021,59,6747,88,10111.8,3340,127203,5006,190640.5,0.0,0.1,2,234,3.0,350.7,66724,60628-2021-43,POINT (-87.621537 41.694192)
60609,33,08/15/2021,08/21/2021,82,7680,133,12488.8,1760,95328,2862,155017.5,0.0,0.1,0,157,0.0,255.3,61495,60609-2021-33,POINT (-87.653382 41.812017)
60609,34,08/22/2021,08/28/2021,63,7743,102,12591.3,1857,97185,3020,158037.2,0.0,0.1,0,157,0.0,255.3,61495,60609-2021-34,POINT (-87.653382 41.812017)
60623,8,02/20/2022,02/26/2022,26,19081,30,22192.6,5250,246269,6106,286429.2,0.0,0.1,1,318,1.2,369.9,85979,60623-2022-8,POINT (-87.717446 41.850321)
60624,52,12/20/2020,12/26/2020,73,2448,202,6770.3,739,23859,2044,65985.4,0.1,0.1,1,56,2.8,154.9,36158,60624-2020-52,POINT (-87.722735 41.879417)
60624,1,01/03/2021,01/09/2021,76,2596,210,7179.6,995,25596,2752,70789.3,0.1,0.1,1,58,2.8,160.4,36158,60624-2021-1,POINT (-87.722735 41.879417)
60624,10,03/07/2021,03/13/2021,36,2931,100,8106.1,971,33973,2685,93957.1,0.0,0.1,1,71,2.8,196.4,36158,60624-2021-10,POINT (-87.722735 41.879417)
60624,11,03/14/2021,03/20/2021,31,2962,86,8191.8,1148,35121,3175,97132,0.0,0.1,1,72,2.8,199.1,36158,60624-2021-11,POINT (-87.722735 41.879417)
60624,12,03/21/2021,03/27/2021,43,3005,119,8310.7,860,35981,2378,99510.5,0.0,0.1,0,72,0.0,199.1,36158,60624-2021-12,POINT (-87.722735 41.879417)
60624,13,03/28/2021,04/03/2021,41,3046,113,8424.1,980,36961,2710,102220.8,0.0,0.1,1,73,2.8,201.9,36158,60624-2021-13,POINT (-87.722735 41.879417)
60624,14,04/04/2021,04/10/2021,73,3119,202,8626,1353,38314,3742,105962.7,0.1,0.1,1,74,2.8,204.7,36158,60624-2021-14,POINT (-87.722735 41.879417)
