Trip Start Timestamp,Trips
4/21/2020,"50,757"
4/22/2020,"50,957"
4/23/2020,"52,286"
4/24/2020,"59,391"
4/25/2020,"57,009"
4/26/2020,"47,057"
4/27/2020,"52,030"
4/28/2020,"52,528"
4/29/2020,"58,555"
4/30/2020,"58,214"
5/1/2020,"66,768"
5/2/2020,"65,562"
5/3/2020,"52,213"
5/4/2020,"56,134"
5/5/2020,"56,284"
5/6/2020,"56,170"
5/7/2020,"58,892"
5/8/2020,"67,363"
5/9/2020,"65,019"
5/10/2020,"56,300"
5/11/2020,"55,467"
5/12/2020,"54,180"
5/13/2020,"56,795"
5/14/2020,"61,074"
5/15/2020,"70,473"
5/16/2020,"67,234"
5/17/2020,"54,075"
5/18/2020,"57,601"
5/19/2020,"57,338"
5/20/2020,"59,946"
5/21/2020,"63,364"
5/22/2020,"73,774"
5/23/2020,"67,746"
5/24/2020,"60,795"
5/25/2020,"57,016"
5/26/2020,"61,612"
5/27/2020,"61,493"
5/28/2020,"65,600"
5/29/2020,"77,745"
5/30/2020,"77,173"
5/31/2020,"51,041"
6/1/2020,"51,646"
6/2/2020,"59,795"
6/3/2020,"65,344"
6/4/2020,"74,114"
6/5/2020,"88,499"
6/6/2020,"83,476"
6/7/2020,"66,197"
6/8/2020,"72,990"
6/9/2020,"75,014"
6/10/2020,"79,824"
6/11/2020,"88,429"
6/12/2020,"106,329"
6/13/2020,"112,201"
6/14/2020,"82,374"
6/15/2020,"77,119"
6/16/2020,"80,421"
6/17/2020,"86,873"
6/18/2020,"95,367"
6/19/2020,"119,932"
6/20/2020,"120,409"
6/21/2020,"83,128"
6/22/2020,"82,959"
6/23/2020,"85,668"
6/24/2020,"90,354"
6/25/2020,"102,500"
6/26/2020,"123,823"
6/27/2020,"133,299"
6/28/2020,"98,066"
6/29/2020,"90,490"
6/30/2020,"96,214"
7/1/2020,"102,576"
7/2/2020,"115,665"
7/3/2020,"132,409"
7/4/2020,"125,180"
7/5/2020,"94,314"
7/6/2020,"90,215"
7/7/2020,"94,592"
7/8/2020,"99,268"
7/9/2020,"108,091"
7/10/2020,"130,201"
7/11/2020,"141,962"
7/12/2020,"101,236"
7/13/2020,"91,147"
7/14/2020,"93,717"
7/15/2020,"103,577"
7/16/2020,"110,267"
7/17/2020,"133,533"
7/18/2020,"146,813"
7/19/2020,"99,716"
7/20/2020,"90,811"
7/21/2020,"93,337"
7/22/2020,"101,333"
7/23/2020,"110,652"
7/24/2020,"133,920"
7/25/2020,"146,822"
7/26/2020,"105,499"
7/27/2020,"89,404"
7/28/2020,"93,848"
7/29/2020,"100,049"
7/30/2020,"108,987"
7/31/2020,"130,694"
8/1/2020,"145,178"
8/2/2020,"103,396"
8/3/2020,"91,878"
8/4/2020,"93,676"
8/5/2020,"99,310"
8/6/2020,"109,325"
8/7/2020,"135,839"
8/8/2020,"152,228"
8/9/2020,"110,724"
8/10/2020,"84,050"
8/11/2020,"92,398"
8/12/2020,"99,863"
8/13/2020,"108,681"
8/14/2020,"133,877"
8/15/2020,"142,646"
8/16/2020,"104,149"
8/17/2020,"90,817"
8/18/2020,"91,975"
8/19/2020,"99,404"
8/20/2020,"110,265"
8/21/2020,"139,719"
8/22/2020,"155,070"
8/23/2020,"109,535"
8/24/2020,"94,066"
8/25/2020,"94,733"
8/26/2020,"102,138"
8/27/2020,"112,563"
8/28/2020,"141,540"
8/29/2020,"151,803"
8/30/2020,"110,312"
8/31/2020,"93,879"
9/1/2020,"98,236"
9/2/2020,"105,801"
9/3/2020,"118,768"
9/4/2020,"145,080"
9/5/2020,"158,967"
9/6/2020,"125,473"
9/7/2020,"97,779"
9/8/2020,"100,619"
9/9/2020,"98,090"
9/10/2020,"115,940"
9/11/2020,"141,011"
9/12/2020,"153,682"
9/13/2020,"118,960"
9/14/2020,"97,302"
9/15/2020,"101,952"
9/16/2020,"110,751"
9/17/2020,"121,306"
9/18/2020,"151,832"
9/19/2020,"167,451"
9/20/2020,"121,060"
9/21/2020,"99,069"
9/22/2020,"103,731"
9/23/2020,"111,927"
9/24/2020,"121,777"
9/25/2020,"151,417"
9/26/2020,"167,671"
9/27/2020,"120,906"
9/28/2020,"100,805"
9/29/2020,"101,981"
9/30/2020,"112,283"
10/1/2020,"122,393"
10/2/2020,"155,185"
10/3/2020,"169,310"
10/4/2020,"122,162"
10/5/2020,"100,085"
10/6/2020,"100,981"
10/7/2020,"108,307"
10/8/2020,"122,579"
10/9/2020,"156,374"
10/10/2020,"181,449"
10/11/2020,"127,204"
10/12/2020,"98,613"
10/13/2020,"100,177"
10/14/2020,"106,609"
10/15/2020,"121,852"
10/16/2020,"158,875"
10/17/2020,"179,561"
10/18/2020,"129,467"
10/19/2020,"102,517"
10/20/2020,"103,046"
10/21/2020,"109,109"
10/22/2020,"122,947"
10/23/2020,"157,976"
10/24/2020,"172,500"
10/25/2020,"115,175"
10/26/2020,"101,750"
10/27/2020,"103,316"
10/28/2020,"108,052"
10/29/2020,"123,736"
10/30/2020,"145,713"
10/31/2020,"169,136"
11/1/2020,"121,292"
11/2/2020,"95,442"
11/3/2020,"95,188"
11/4/2020,"93,750"
11/5/2020,"102,801"
11/6/2020,"132,502"
11/7/2020,"151,671"
11/8/2020,"105,323"
11/9/2020,"91,357"
11/10/2020,"90,602"
11/11/2020,"92,560"
11/12/2020,"101,228"
11/13/2020,"126,476"
11/14/2020,"129,692"
11/15/2020,"94,735"
11/16/2020,"88,654"
11/17/2020,"85,493"
11/18/2020,"88,721"
11/19/2020,"96,089"
11/20/2020,"112,406"
11/21/2020,"108,473"
11/22/2020,"80,731"
11/23/2020,"85,911"
11/24/2020,"96,392"
11/25/2020,"106,692"
11/26/2020,"76,759"
11/27/2020,"88,784"
11/28/2020,"95,980"
11/29/2020,"80,904"
11/30/2020,"88,292"
12/1/2020,"88,160"
12/2/2020,"91,206"
12/3/2020,"95,942"
12/4/2020,"116,182"
12/5/2020,"120,932"
12/6/2020,"87,362"
12/7/2020,"85,767"
12/8/2020,"87,612"
12/9/2020,"92,188"
12/10/2020,"100,166"
12/11/2020,"123,530"
12/12/2020,"125,289"
12/13/2020,"91,937"
12/14/2020,"90,384"
12/15/2020,"93,316"
12/16/2020,"99,442"
12/17/2020,"106,322"
12/18/2020,"127,432"
12/19/2020,"124,756"
12/20/2020,"92,754"
12/21/2020,"95,079"
12/22/2020,"100,838"
12/23/2020,"111,011"
12/24/2020,"104,878"
12/25/2020,"66,704"
12/26/2020,"90,708"
12/27/2020,"82,260"
12/28/2020,"91,093"
12/29/2020,"92,323"
12/30/2020,"110,614"
12/31/2020,"140,572"
1/1/2021,"102,021"
1/2/2021,"102,744"
1/3/2021,"85,870"
1/4/2021,"94,966"
1/5/2021,"93,112"
1/6/2021,"96,377"
1/7/2021,"101,640"
1/8/2021,"125,448"
1/9/2021,"132,586"
1/10/2021,"100,558"
1/11/2021,"95,926"
1/12/2021,"94,469"
1/13/2021,"99,018"
1/14/2021,"106,712"
1/15/2021,"129,287"
1/16/2021,"136,484"
1/17/2021,"104,419"
1/18/2021,"93,082"
1/19/2021,"94,160"
1/20/2021,"99,163"
1/21/2021,"108,860"
1/22/2021,"135,811"
1/23/2021,"146,851"
1/24/2021,"108,249"
1/25/2021,"95,751"
1/26/2021,"90,700"
1/27/2021,"106,887"
1/28/2021,"116,997"
1/29/2021,"141,470"
1/30/2021,"139,889"
1/31/2021,"76,082"
2/1/2021,"99,655"
2/2/2021,"106,415"
2/3/2021,"112,337"
2/4/2021,"113,777"
2/5/2021,"146,131"
2/6/2021,"149,429"
2/7/2021,"118,901"
2/8/2021,"97,414"
2/9/2021,"103,637"
2/10/2021,"111,758"
2/11/2021,"115,625"
2/12/2021,"138,106"
2/13/2021,"131,204"
2/14/2021,"120,456"
2/15/2021,"59,543"
2/16/2021,"58,680"
2/17/2021,"104,494"
2/18/2021,"108,120"
2/19/2021,"144,341"
2/20/2021,"160,650"
2/21/2021,"110,388"
2/22/2021,"103,380"
2/23/2021,"104,281"
2/24/2021,"106,846"
2/25/2021,"118,575"
2/26/2021,"146,973"
2/27/2021,"160,636"
2/28/2021,"115,321"
3/1/2021,"102,397"
3/2/2021,"102,002"
3/3/2021,"110,290"
3/4/2021,"120,469"
3/5/2021,"148,941"
3/6/2021,"167,698"
3/7/2021,"117,977"
3/8/2021,"102,862"
3/9/2021,"105,420"
3/10/2021,"110,038"
3/11/2021,"119,384"
3/12/2021,"152,327"
3/13/2021,"185,588"
3/14/2021,"122,859"
3/15/2021,"104,859"
3/16/2021,"105,739"
3/17/2021,"115,537"
3/18/2021,"120,665"
3/19/2021,"153,875"
3/20/2021,"169,933"
3/21/2021,"123,472"
3/22/2021,"106,153"
3/23/2021,"105,681"
3/24/2021,"111,532"
3/25/2021,"119,667"
3/26/2021,"146,560"
3/27/2021,"159,134"
3/28/2021,"120,397"
3/29/2021,"105,784"
3/30/2021,"106,501"
3/31/2021,"118,209"
4/1/2021,"127,338"
4/2/2021,"145,634"
4/3/2021,"159,217"
4/4/2021,"108,634"
4/5/2021,"105,125"
4/6/2021,"113,243"
4/7/2021,"121,338"
4/8/2021,"130,455"
4/9/2021,"148,898"
4/10/2021,"172,127"
4/11/2021,"113,180"
4/12/2021,"102,604"
4/13/2021,"106,052"
4/14/2021,"116,638"
4/15/2021,"122,903"
4/16/2021,"143,255"
4/17/2021,"169,571"
4/18/2021,"118,542"
